Date_Begin	Date_End	InterestPersent_BNB	Dayli_CoeffZL
01.1.1989	30.6.1992	0	0
01.7.1992	05.7.1992	54	0,178
06.7.1992	02.8.1992	49	0,164
03.8.1992	14.9.1992	45	0,153
15.9.1992	31.12.1992	41	0,142
01.1.1993	21.2.1993	47	0,158
22.2.1993	03.6.1993	51	0,169
04.6.1993	22.8.1993	48	0,161
23.8.1993	31.10.1993	44	0,15
01.11.1993	09.11.1993	47	0,158
10.11.1993	09.1.1994	52	0,172
10.1.1994	13.3.1994	56	0,183
14.3.1994	06.9.1994	62	0,2
07.9.1994	09.4.1995	72	0,228
10.4.1995	24.4.1995	65	0,208
25.4.1995	07.5.1995	60	0,194
08.5.1995	20.6.1995	54	0,178
21.6.1995	02.7.1995	48	0,161
03.7.1995	16.7.1995	44	0,15
17.7.1995	31.7.1995	39	0,136
01.8.1995	04.2.1996	34	0,122
05.2.1996	05.3.1996	42	0,144
06.3.1996	25.4.1996	49	0,164
26.4.1996	09.5.1996	67	0,214
10.5.1996	23.7.1996	108	0,328
24.7.1996	17.10.1996	300	0,861
18.10.1996	03.11.1996	240	0,694
04.11.1996	27.1.1997	180	0,528
28.1.1997	28.2.1997	198	0,578
01.3.1997	06.4.1997	216	0,628
07.4.1997	13.4.1997	205,68	0,599
14.4.1997	20.4.1997	169,8	0,499
21.4.1997	27.4.1997	96,36	0,295
28.4.1997	11.5.1997	74,4	0,234
12.5.1997	18.5.1997	62,4	0,201
19.5.1997	25.5.1997	51,48	0,171
26.5.1997	01.6.1997	43,08	0,147
02.6.1997	08.6.1997	48,72	0,163
09.6.1997	15.6.1997	47,28	0,159
16.6.1997	22.6.1997	35,76	0,127
23.6.1997	29.6.1997	15,2	0,07
30.6.1997	30.6.1997	10,12	0,056
01.7.1997	06.7.1997	10,12	0,056
07.7.1997	13.7.1997	9,76	0,055
14.7.1997	20.7.1997	6,96	0,047
21.7.1997	27.7.1997	6,12	0,045
28.7.1997	03.8.1997	5,42	0,043
04.8.1997	10.8.1997	5,5	0,043
11.8.1997	17.8.1997	5,59	0,043
18.8.1997	24.8.1997	5,7	0,044
25.8.1997	31.8.1997	5,86	0,044
01.9.1997	07.9.1997	5,98	0,044
08.9.1997	14.9.1997	6,11	0,045
15.9.1997	21.9.1997	6,23	0,045
22.9.1997	28.9.1997	6,27	0,045
29.9.1997	05.10.1997	6,03	0,045
06.10.1997	12.10.1997	5,78	0,044
13.10.1997	19.10.1997	5,53	0,043
20.10.1997	26.10.1997	5,12	0,042
27.10.1997	02.11.1997	4,87	0,041
03.11.1997	09.11.1997	4,95	0,042
10.11.1997	16.11.1997	5,45	0,043
17.11.1997	23.11.1997	5,41	0,043
24.11.1997	30.11.1997	5,9	0,044
01.12.1997	02.12.1997	6,4	0,046
03.12.1997	09.12.1997	6,94	0,047
10.12.1997	16.12.1997	6,85	0,047
17.12.1997	28.12.1997	6,77	0,047
29.12.1997	04.1.1998	6,65	0,046
05.1.1998	06.1.1998	6,56	0,046
07.1.1998	13.1.1998	6,52	0,046
14.1.1998	20.1.1998	6,4	0,046
21.1.1998	27.1.1998	6,27	0,045
28.1.1998	03.2.1998	6,06	0,045
04.2.1998	10.2.1998	5,9	0,044
11.2.1998	17.2.1998	5,78	0,044
18.2.1998	24.2.1998	5,61	0,043
25.2.1998	03.3.1998	5,53	0,043
04.3.1998	10.3.1998	5,49	0,043
11.3.1998	17.3.1998	5,32	0,043
18.3.1998	24.3.1998	5,28	0,042
25.3.1998	31.3.1998	5,32	0,043
01.4.1998	28.4.1998	5,41	0,043
29.4.1998	05.5.1998	5,37	0,043
06.5.1998	12.5.1998	5,32	0,043
13.5.1998	19.5.1998	5,24	0,042
20.5.1998	26.5.1998	5,16	0,042
27.5.1998	09.6.1998	5,12	0,042
10.6.1998	23.6.1998	5,16	0,042
24.6.1998	04.8.1998	5,2	0,042
05.8.1998	18.8.1998	5,16	0,042
19.8.1998	08.9.1998	5,12	0,042
09.9.1998	13.10.1998	5,08	0,042
14.10.1998	20.10.1998	5,12	0,042
21.10.1998	27.10.1998	5,2	0,042
28.10.1998	10.11.1998	5,28	0,042
11.11.1998	17.11.1998	5,24	0,042
18.11.1998	24.11.1998	5,16	0,042
25.11.1998	01.12.1998	5,12	0,042
02.12.1998	08.12.1998	5,08	0,042
09.12.1998	15.12.1998	5,04	0,042
16.12.1998	29.12.1998	4,99	0,042
30.12.1998	31.12.1998	5,08	0,042
01.1.1999	05.1.1999	5,08	0,042
06.1.1999	12.1.1999	5,12	0,042
13.1.1999	26.1.1999	5,08	0,042
27.1.1999	09.2.1999	5,04	0,042
10.2.1999	16.2.1999	4,99	0,042
17.2.1999	09.3.1999	4,91	0,041
10.3.1999	16.3.1999	4,83	0,041
17.3.1999	23.3.1999	4,87	0,041
24.3.1999	30.3.1999	4,83	0,041
31.3.1999	06.4.1999	4,79	0,041
07.4.1999	13.4.1999	4,75	0,041
14.4.1999	20.4.1999	4,71	0,041
21.4.1999	27.4.1999	4,67	0,041
28.4.1999	04.5.1999	4,63	0,041
05.5.1999	11.5.1999	4,54	0,04
12.5.1999	18.5.1999	4,5	0,04
19.5.1999	25.5.1999	4,46	0,04
26.5.1999	22.6.1999	4,42	0,04
